municipio,denominacao_serventia,endereco,telefone,municipios_circunscritos
Ipiranga do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE IPIRANGA DO PIAUÍ,"Rua Sete de Setembro, nº 21, CEP 64.540-000 Centro",(86) 99952-3367,Ipiranga do Piauí
José de Freitas,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE JOSÉ DE FREITAS,"Rua Hugo Napoleão, nº 1100, CEP 64.110-000 Centro",(86) 99834-8925 / 3264-1415 / (86) 9 9814-0063 / (86) 9 9833-7532,José de Freitas
Teresina,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE TERESINA - 1ª ZONA,"Rua Lizandro Nogueira, nº 2191, CEP 64.000-200 Centro",(86) 99540-5454,Teresina
Francisco Ayres,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE FRANCISCO AYRES,"Rua Benedito Wilson, nº 217, CEP 64.475-000 Centro",(86) 99556-1511,Francisco Ayres
Agricolândia,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE AGRICOLÂNDIA,"Rua Roque Alencar, nº 13, CEP 64.440-000 Centro",,Agricolândia
Itaueira,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ITAUEIRA,"Rua Quirino Avelino, nº 197, CEP 64.820-000 Centro",(89) 3559-1131 / (89) 99906-0605,"Itaueira, Rio Grande do Piauí, Flores do Piauí"
Campo Maior,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE CAMPO MAIOR,"Avenida Santo Antônio, nº 552, Sala 10, CEP 64.280-000 Centro",(86) 99979-5317,"Campo Maior, Nossa Senhora de Nazaré, Jatobá do Piauí, Sigefredo Pacheco"
Teresina,"4ª SERVENTIA EXTRAJUDICIAL DE NOTAS, REGISTRO DE IMÓVEIS E REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIS DAS PESSOAS JURÍDICAS DE TERESINA","Rua David Caldas, nº 757, CEP 64.000-190 Centro Norte",(86) 3221-3999 / 3221-3588,"Teresina, Nazária"
Jaicós,1ª SERVENTIA EXTRAJUDICIAL DE JAICÓS,"Praça Padre Marcos, nº 82, CEP 64.575-000 CENTRO",(89) 99439-2111,"Jaicós, Campo Grande do Piauí, Massapê do Piauí, Patos do Piauí"
Canto do Buriti,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CANTO DO BURITI,"Avenida Getúlio Vargas, nº 738, CEP 64.890-000 Centro",(89) 98109-8733,"Canto do Buriti, Pajeú do Piauí, Tamboril do Piauí, Brejo do Piauí"
Landri Sales,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE LANDRI SALES,Anexada provisoriamente à Serventia Extrajudicial do Ofício Único de Marcos Parente,(89) 99428-1874,Landri Sales
Palmeira do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PALMEIRA DO PIAUÍ,"Rua Simão Borges, s/n, CEP 64.925-000 Centro",(89) 98107-7339,Palmeira do Piauí
Monsenhor Gil,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MONSENHOR GIL,"Rua José Raimundo Brito, nº 218, Sala 'D', CEP 64.450-000 Centro",(86) 99939-0601,"Monsenhor Gil, Curralinhos"
São Gonçalo do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO GONÇALO DO PIAUÍ,"Avenida Marechal Castelo Branco, s/n, CEP 64.435-000 Centro",(86) 99454-3003,"São Gonçalo do Piauí, Santo Antônio dos Milagres"
Caracol,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CARACOL,"Rua José Touta de Figueiredo, nº 133, CEP 64.795-000 Centro",(89) 98144-5000,"Caracol, Guaribas"
Cocal,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE COCAL,"Rua Dom Pedro I, nº 75, CEP 64.235-000 Centro",(86) 99915-3372,"Cocal, Cocal dos Alves"
Monte Alegre do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MONTE ALEGRE DO PIAUÍ,"BR 135, S/N, CEP: 64.940-000 CENTRO",(89) 99992-7004,Monte Alegre do Piauí
Conceição do Canindé,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CONCEIÇÃO DO CANINDÉ,"Praça Sul, nº 174, CEP 64.740-000 Centro",(89) 3489-1449,"Conceição do Canindé, São Francisco de Assis do Piauí"
Campinas do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CAMPINAS DO PIAUÍ,"Rua Dom Expedito Lopes, nº 503, CEP 64.730-000 Centro",(89) 99445-2630,Campinas do Piauí
Teresina,"5ª SERVENTIA EXTRAJUDICIAL DE NOTAS, PROTESTO DE TÍTULOS E REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIS DAS PESSOAS JURÍDICAS DE TERESINA","Rua David Caldas, nº 167, CEP 64.000-190 Centro Norte",(86) 3029-8205,"Teresina, Nazária"
Picos,"2ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE PICOS - 2ª ZONA","Avenida Getúlio Vargas, nº 613, CEP 64.600-002 Centro",(89) 3422-5959,"Picos, Santana do Piauí, Sussuapara"
Teresina,"1ª SERVENTIA EXTRAJUDICIAL DE  NOTAS, REGISTRO DE IMÓVEIS E REGISTRO DE TÍTULOS E DOCUMENTOS DE TERESINA","Rua Davi Caldas, nº 495, CEP 64.001-190 Centro",(86) 3221-7513 / 3221-7419,"Teresina, Nazária"
Teresina,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE NAZÁRIA,,,
São Miguel do Tapuio,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO MIGUEL DO TAPUIO,"Rua Francisca de Aragão Paiva, nº 447, Bloco 06, CEP 64.330-000 Centro",(86) 98193-8899 / (86) 99817-8756,"São Miguel do Tapuio, Assunção do Piauí"
Esperantina,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE ESPERANTINA,"Praça Leônidas Melo, nº 50, CEP 64.180-000 Centro",(86) 99407-4277,"Esperantina, Morro do Chapéu do Piauí"
Teresina,2ª SERVENTIA EXTRAJUDICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE TERESINA,"Rua Senador Teodoro Pacheco, nº 855, CEP 64.001-060 Centro",(86)3221-5866 / (86) 3081-9353 / (86) 99999-3138,Teresina
Fronteiras,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE FRONTEIRAS,"Avenida 07 de Setembro, nº 533, CEP 64.690-000 Centro",(86) 99996-5069,Fronteiras
Barras,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE BARRAS,"Rua Coronel Correia, nº 121, CEP 64.100-000 Centro",(21) 99901-8070 / (86) 99925-4813,Barras
Parnaguá,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PARNAGUÁ,"Avenida David Mascarenhas, s/n, CEP 64.970-000 Centro",(89) 98112-9637,"Parnaguá, Riacho Frio"
São Félix do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO FÉLIX DO PIAUÍ,"Avenida 29 de Julho, nº 625, CEP 64.375-000 Centro",(86) 98176-9008,"São Félix do Piauí, Santa Cruz dos Milagres, São Miguel da Baixa Grande"
Teresina,"3ª SERVENTIA EXTRAJUDICIAL DE NOTAS, PROTESTO DE TÍTULOS E REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIS DAS PESSOAS JURÍDICAS DE TERESINA","Rua Lizando Nogueira, nº 1223, CEP 64.000-200 Centro",(86)3321-6011 / (86) 98845-8633 / (86) 98845-8637,"Teresina, Nazária"
Anísio de Abreu,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANÍSIO DE ABREU,"Rua Lino Ribeiro nº 85, CEP 64.780-000 Centro",(89) 3588-1307,"Anísio de Abreu, Jurema, Várzea Branca"
